NAMESPACE         NAME                                      DESIRED   CURRENT   READY   AGE
abdulaziz         final-exam-7485bd966f                     1         1         1       82m
abdulaziz         fl-app-d498868d7                          2         2         2       115m
abdulaziz         front-app-6fdbc666df                      1         1         1       59m
abdulaziz         nginx-deploy-5bfb5cbd4                    1         1         1       104m
alisher           final-exam-5f9795dc5b                     1         1         1       28m
alisher           flask-application-6b6d5bdf59              2         2         2       83m
alisher           frontend-something-64db47cf79             1         1         1       13m
alisher           nginx-556bf894f6                          0         0         0       40m
alisher           nginx-5f874fd54d                          1         1         1       37m
asilbek           final-exam-65989dbb69                     1         1         1       102m
asilbek           final-exam-host-c595b59b6                 1         1         1       54m
asilbek           flask-application-6b6d5bdf59              2         2         2       120m
asilbek           frontend-something-76475f457              1         1         1       85m
asilbek           frontend-something-duplicate-797fb67c4c   1         1         1       32m
asilbek           nginx-7f959d74fb                          1         1         1       108m
asilbek           nginx-db4655f84                           0         0         0       112m
asrorbek          final-exam-79dd7f48ff                     1         1         1       125m
asrorbek          final-exam-host-7d879d47d9                1         1         1       87m
asrorbek          flask-application-d9fbdbd5                2         2         2       134m
asrorbek          frontend-something-5cf7b68885             1         1         1       113m
asrorbek          frontend-something-affinity-68d548d84     1         1         1       70m
asrorbek          nginx-7c8b8bc6d7                          1         1         0       63m
azizbek           final-exam-7d847d7684                     1         1         1       89m
azizbek           final-exam-host-6b4dc5bc54                1         1         1       2m16s
azizbek           flask-app-64754794f6                      2         2         2       112m
azizbek           frontend-something-558c99f55d             1         1         1       56m
azizbek           nginx-test-6d8dd4cc79                     1         1         0       98m
bekhzod           finalexam-5fbfcf7bff                      0         0         0       9m32s
bekhzod           finalexam-7c6f59cf7b                      1         1         1       8m50s
bekhzod           flask-app-64754794f6                      2         2         2       63m
bekhzod           flask-app-66bfd8f96c                      0         0         0       66m
bekhzod           nginx-68648b6b6d                          0         0         0       35m
bekhzod           nginx-6dbbddbdd8                          1         1         0       19m
bekhzod           nginx-7854ff8877                          0         0         0       39m
bekhzod           nginx-7ff7799f6                           1         1         1       36m
bekhzod           nginx-889876d48                           0         0         0       21m
cert-manager      cert-manager-86844d9d7                    1         1         1       12d
cert-manager      cert-manager-cainjector-6d5f558c69        1         1         1       12d
cert-manager      cert-manager-webhook-bd76f6cf9            1         1         1       12d
default           deployment-549fcd8859                     1         1         1       5d
default           flask-app-deployment-59b5dfdffd           1         1         0       9d
default           flask-application-58f598d656              1         1         0       9d
default           frontend-application-8594dd7967           1         1         0       8d
default           nginx-96b466bcf                           1         1         0       95m
default           suricata-76884dfdc9                       1         1         0       5d3h
dilshod           flask-application-7c86cdd987              1         1         0       74m
dilshod           nginx-7854ff8877                          0         0         0       17m
dilshod           nginx-7ff7799f6                           1         1         1       16m
doniyorbek        final-exam-5bc6cf55c6                     1         1         1       58m
doniyorbek        flask-application-57fcbc79d4              2         2         2       96m
doniyorbek        flask-application-5c44d7fff7              0         0         0       99m
doniyorbek        frontend-something-768f579df6             1         1         1       33m
doniyorbek        nginx-conf-55b584bf9d                     0         0         0       71m
doniyorbek        nginx-conf-7996db866                      1         1         0       65m
doniyorbek        nginx-conf-7c445c5c79                     0         0         0       79m
